ENTIDAD,NOMBRE_ENTIDAD,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,SECCION
19,NUEVO LEON,1,18,19,356
19,NUEVO LEON,1,18,19,357
19,NUEVO LEON,1,18,19,358
19,NUEVO LEON,1,18,19,359
19,NUEVO LEON,1,18,19,360
19,NUEVO LEON,1,18,19,361
19,NUEVO LEON,1,18,19,362
19,NUEVO LEON,1,18,19,363
19,NUEVO LEON,1,18,19,364
19,NUEVO LEON,1,18,19,365
19,NUEVO LEON,1,18,19,366
19,NUEVO LEON,1,18,19,367
19,NUEVO LEON,1,18,19,368
19,NUEVO LEON,1,18,19,369
19,NUEVO LEON,1,18,19,370
19,NUEVO LEON,1,18,19,371
19,NUEVO LEON,1,18,19,372
19,NUEVO LEON,1,18,19,373
19,NUEVO LEON,1,18,19,374
19,NUEVO LEON,1,18,19,375
19,NUEVO LEON,1,18,19,376
19,NUEVO LEON,1,18,19,377
19,NUEVO LEON,1,18,19,378
19,NUEVO LEON,1,18,19,379
19,NUEVO LEON,1,18,19,380
19,NUEVO LEON,1,18,19,381
19,NUEVO LEON,1,18,19,382
19,NUEVO LEON,1,18,19,383
19,NUEVO LEON,1,18,19,384
19,NUEVO LEON,1,18,19,385
19,NUEVO LEON,1,18,19,386
19,NUEVO LEON,1,18,19,387
19,NUEVO LEON,1,18,19,388
19,NUEVO LEON,1,18,19,389
19,NUEVO LEON,1,18,19,390
19,NUEVO LEON,1,18,19,391
19,NUEVO LEON,1,18,19,392
19,NUEVO LEON,1,18,19,393
19,NUEVO LEON,1,18,19,394
19,NUEVO LEON,1,18,19,395
19,NUEVO LEON,1,18,19,396
19,NUEVO LEON,1,18,19,397
19,NUEVO LEON,1,18,19,398
19,NUEVO LEON,1,18,19,399
19,NUEVO LEON,1,18,19,400
19,NUEVO LEON,1,18,19,401
19,NUEVO LEON,1,18,19,402
19,NUEVO LEON,1,18,19,403
19,NUEVO LEON,1,18,19,404
19,NUEVO LEON,1,18,19,405
19,NUEVO LEON,1,18,19,406
19,NUEVO LEON,1,18,19,407
19,NUEVO LEON,1,18,19,408
19,NUEVO LEON,1,18,19,409
19,NUEVO LEON,1,18,19,410
19,NUEVO LEON,1,18,19,411
19,NUEVO LEON,1,18,19,412
19,NUEVO LEON,1,18,19,413
19,NUEVO LEON,1,18,19,414
19,NUEVO LEON,1,18,19,415
19,NUEVO LEON,1,18,19,416
19,NUEVO LEON,1,18,19,417
19,NUEVO LEON,1,18,48,2003
19,NUEVO LEON,1,18,48,2004
19,NUEVO LEON,1,18,48,2005
19,NUEVO LEON,1,18,48,2007
19,NUEVO LEON,1,18,48,2008
19,NUEVO LEON,1,18,48,2009
19,NUEVO LEON,1,18,48,2010
19,NUEVO LEON,1,18,48,2011
19,NUEVO LEON,1,18,48,2012
19,NUEVO LEON,1,18,48,2013
19,NUEVO LEON,1,18,48,2014
19,NUEVO LEON,1,18,48,2015
19,NUEVO LEON,1,18,48,2016
19,NUEVO LEON,1,18,48,2017
19,NUEVO LEON,1,18,48,2018
19,NUEVO LEON,1,18,48,2019
19,NUEVO LEON,1,18,48,2057
19,NUEVO LEON,1,18,48,2058
19,NUEVO LEON,1,18,48,2059
19,NUEVO LEON,1,18,48,2060
19,NUEVO LEON,1,18,48,2061
19,NUEVO LEON,1,18,48,2062
19,NUEVO LEON,1,18,48,2063
19,NUEVO LEON,1,18,48,2064
19,NUEVO LEON,1,18,48,2065
19,NUEVO LEON,1,18,48,2066
19,NUEVO LEON,1,18,48,2080
19,NUEVO LEON,1,18,48,2081
19,NUEVO LEON,1,18,48,2082
19,NUEVO LEON,1,18,48,2083
19,NUEVO LEON,1,18,48,3122
19,NUEVO LEON,1,18,48,3123
19,NUEVO LEON,1,18,48,3124
19,NUEVO LEON,1,18,48,3125
19,NUEVO LEON,1,18,48,3126
19,NUEVO LEON,1,19,48,1999
19,NUEVO LEON,1,19,48,2000
19,NUEVO LEON,1,19,48,2001
19,NUEVO LEON,1,19,48,2020
19,NUEVO LEON,1,19,48,2021
19,NUEVO LEON,1,19,48,2022
19,NUEVO LEON,1,19,48,2023
19,NUEVO LEON,1,19,48,2024
19,NUEVO LEON,1,19,48,2025
19,NUEVO LEON,1,19,48,2026
19,NUEVO LEON,1,19,48,2027
19,NUEVO LEON,1,19,48,2028
19,NUEVO LEON,1,19,48,2029
19,NUEVO LEON,1,19,48,2030
19,NUEVO LEON,1,19,48,2031
19,NUEVO LEON,1,19,48,2032
19,NUEVO LEON,1,19,48,2033
19,NUEVO LEON,1,19,48,2034
19,NUEVO LEON,1,19,48,2035
19,NUEVO LEON,1,19,48,2036
19,NUEVO LEON,1,19,48,2037
19,NUEVO LEON,1,19,48,2038
19,NUEVO LEON,1,19,48,2039
19,NUEVO LEON,1,19,48,2043
19,NUEVO LEON,1,19,48,2044
19,NUEVO LEON,1,19,48,2045
19,NUEVO LEON,1,19,48,2046
19,NUEVO LEON,1,19,48,2048
19,NUEVO LEON,1,19,48,2049
19,NUEVO LEON,1,19,48,2050
19,NUEVO LEON,1,19,48,2051
19,NUEVO LEON,1,19,48,2052
19,NUEVO LEON,1,19,48,2053
19,NUEVO LEON,1,19,48,2054
19,NUEVO LEON,1,19,48,2055
19,NUEVO LEON,1,19,48,2056
19,NUEVO LEON,1,19,48,2067
19,NUEVO LEON,1,19,48,2068
19,NUEVO LEON,1,19,48,2069
19,NUEVO LEON,1,19,48,2070
19,NUEVO LEON,1,19,48,2071
19,NUEVO LEON,1,19,48,2072
19,NUEVO LEON,1,19,48,2074
19,NUEVO LEON,1,19,48,2075
19,NUEVO LEON,1,19,48,2076
19,NUEVO LEON,1,19,48,2077
19,NUEVO LEON,1,19,48,2078
19,NUEVO LEON,1,19,48,2079
19,NUEVO LEON,1,19,48,2084
19,NUEVO LEON,1,19,48,2085
19,NUEVO LEON,1,19,48,2786
19,NUEVO LEON,1,19,48,2787
19,NUEVO LEON,1,19,48,2788
19,NUEVO LEON,1,19,48,2789
19,NUEVO LEON,1,19,48,2790
19,NUEVO LEON,1,19,48,2791
19,NUEVO LEON,1,19,48,2792
19,NUEVO LEON,1,19,48,2793
19,NUEVO LEON,1,19,48,2794
19,NUEVO LEON,1,19,48,2795
19,NUEVO LEON,1,19,48,2796
19,NUEVO LEON,1,19,48,2797
19,NUEVO LEON,1,19,48,2798
19,NUEVO LEON,1,19,48,2911
19,NUEVO LEON,1,19,48,2912
19,NUEVO LEON,1,19,48,2913
19,NUEVO LEON,1,19,48,2914
19,NUEVO LEON,1,19,48,2915
19,NUEVO LEON,1,19,48,2916
19,NUEVO LEON,1,19,48,2966
19,NUEVO LEON,1,19,48,2967
19,NUEVO LEON,1,19,48,2968
19,NUEVO LEON,1,19,48,2969
19,NUEVO LEON,1,19,48,2970
19,NUEVO LEON,1,19,48,2971
19,NUEVO LEON,1,19,48,3115
19,NUEVO LEON,1,19,48,3116
19,NUEVO LEON,1,19,48,3117
19,NUEVO LEON,1,19,48,3118
19,NUEVO LEON,1,19,48,3119
19,NUEVO LEON,1,19,48,3120
19,NUEVO LEON,1,19,48,3121
19,NUEVO LEON,2,5,6,63
19,NUEVO LEON,2,5,6,105
19,NUEVO LEON,2,5,6,106
19,NUEVO LEON,2,5,6,107
19,NUEVO LEON,2,5,6,109
19,NUEVO LEON,2,5,6,110
19,NUEVO LEON,2,5,6,111
19,NUEVO LEON,2,5,6,112
19,NUEVO LEON,2,5,6,113
19,NUEVO LEON,2,5,6,115
19,NUEVO LEON,2,5,6,116
19,NUEVO LEON,2,5,6,122
19,NUEVO LEON,2,5,6,132
19,NUEVO LEON,2,5,6,133
19,NUEVO LEON,2,5,6,2197
19,NUEVO LEON,2,5,6,2198
19,NUEVO LEON,2,5,6,2438
19,NUEVO LEON,2,5,6,2439
19,NUEVO LEON,2,5,6,2440
19,NUEVO LEON,2,5,6,2441
19,NUEVO LEON,2,5,6,2442
19,NUEVO LEON,2,5,6,2443
19,NUEVO LEON,2,5,6,2444
19,NUEVO LEON,2,5,6,2445
19,NUEVO LEON,2,5,6,2446
19,NUEVO LEON,2,5,6,2447
19,NUEVO LEON,2,5,6,2448
19,NUEVO LEON,2,5,6,2449
19,NUEVO LEON,2,5,6,2450
19,NUEVO LEON,2,5,6,2451
19,NUEVO LEON,2,5,6,2452
19,NUEVO LEON,2,5,6,2453
19,NUEVO LEON,2,5,6,2454
19,NUEVO LEON,2,5,6,2455
19,NUEVO LEON,2,5,6,2456
19,NUEVO LEON,2,5,6,2457
19,NUEVO LEON,2,5,6,2458
19,NUEVO LEON,2,5,6,2459
19,NUEVO LEON,2,5,6,2460
19,NUEVO LEON,2,5,6,2461
19,NUEVO LEON,2,5,6,2462
19,NUEVO LEON,2,5,6,2463
19,NUEVO LEON,2,5,6,2464
19,NUEVO LEON,2,5,6,2465
19,NUEVO LEON,2,5,6,2466
19,NUEVO LEON,2,5,6,2467
19,NUEVO LEON,2,5,6,2468
19,NUEVO LEON,2,5,6,2469
19,NUEVO LEON,2,5,6,2470
19,NUEVO LEON,2,5,6,2471
19,NUEVO LEON,2,5,6,2472
19,NUEVO LEON,2,5,6,2473
19,NUEVO LEON,2,5,6,2474
19,NUEVO LEON,2,5,6,2475
19,NUEVO LEON,2,5,6,2476
19,NUEVO LEON,2,5,6,2477
19,NUEVO LEON,2,5,6,2478
19,NUEVO LEON,2,5,6,2479
19,NUEVO LEON,2,5,6,2480
19,NUEVO LEON,2,5,6,2481
19,NUEVO LEON,2,5,6,2482
19,NUEVO LEON,2,5,6,2483
19,NUEVO LEON,2,5,6,2484
19,NUEVO LEON,2,5,6,2485
19,NUEVO LEON,2,5,6,2486
19,NUEVO LEON,2,5,6,2487
19,NUEVO LEON,2,5,6,2488
19,NUEVO LEON,2,5,6,2489
19,NUEVO LEON,2,5,6,2490
19,NUEVO LEON,2,5,6,2494
19,NUEVO LEON,2,5,6,2495
19,NUEVO LEON,2,5,6,2496
19,NUEVO LEON,2,5,6,2497
19,NUEVO LEON,2,5,6,2498
19,NUEVO LEON,2,5,6,2499
19,NUEVO LEON,2,5,6,2500
19,NUEVO LEON,2,5,6,2501
19,NUEVO LEON,2,5,6,2502
19,NUEVO LEON,2,5,6,2503
19,NUEVO LEON,2,5,6,2504
19,NUEVO LEON,2,5,6,2505
19,NUEVO LEON,2,5,6,2506
19,NUEVO LEON,2,5,6,2507
19,NUEVO LEON,2,5,6,2508
19,NUEVO LEON,2,5,6,2509
19,NUEVO LEON,2,5,6,2512
19,NUEVO LEON,2,5,6,2923
19,NUEVO LEON,2,5,6,2924
19,NUEVO LEON,2,5,6,2972
19,NUEVO LEON,2,5,6,2973
19,NUEVO LEON,2,5,6,2974
19,NUEVO LEON,2,5,6,2975
19,NUEVO LEON,2,5,6,2976
19,NUEVO LEON,2,5,6,2977
19,NUEVO LEON,2,5,6,2978
19,NUEVO LEON,2,5,6,2979
19,NUEVO LEON,2,5,6,2980
19,NUEVO LEON,2,5,6,3132
19,NUEVO LEON,2,5,6,3133
19,NUEVO LEON,2,5,6,3134
