,Municipio,SECCION,PAN,PRI,PRD,PVEM,PT,MC,MORENA,VIDA,ESO,PL,PES,PJ,CAND_IND_1,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PVEM_MORENA,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,Participacion,Primer Lugar,Segundo Lugar,Margen,Partido Ganador,Segundo Lugar,Meta Seccionales
1,Monterrey,"2,134",908,"1,164",19,74,58,"2,796",604,"1,541",149,0,0,11,0,114,20,0,1,18,3,92,"7,571","7,572","13,481",56.17%,"2,796","1,541",16.57%,MC,VIDA,"3,862"
2,Apodaca,102,"1,383","2,852",60,117,122,"1,569","1,402",86,26,0,0,13,0,241,46,12,5,0,2,236,"7,879","8,172","13,090",62.43%,"2,852","1,569",15.70%,PRI,MC,"4,168"
3,Juarez,"2,661",93,467,30,127,73,"2,165","1,176",0,9,0,6,11,0,26,3,1,0,41,11,114,"4,378","4,353","12,913",33.71%,"2,165","1,176",22.72%,MC,MORENA,"2,220"
4,Gral. Escobedo,433,176,182,24,265,232,656,"1,359",64,16,0,9,16,0,17,11,0,6,19,2,218,"3,208","3,272","12,753",25.66%,"1,359",656,21.49%,MORENA,MC,"1,669"
5,Santa Catarina,"2,002","2,984",152,23,84,106,"2,992",603,53,0,0,34,0,0,124,18,2,1,0,8,132,"7,312","7,316","11,764",62.19%,"2,992","2,984",0.11%,MC,PAN,"3,731"
6,Gral. Escobedo,483,436,269,11,343,169,999,"1,750",105,35,0,12,106,0,34,5,2,1,57,0,180,"3,857","4,514","10,516",42.93%,"1,750",999,16.64%,MORENA,MC,"2,302"
7,Apodaca,84,601,"1,892",50,87,73,836,"1,087",49,19,0,0,12,0,138,28,2,3,0,1,125,"5,001","5,003","10,112",49.48%,"1,892","1,087",16.09%,PRI,MORENA,"2,552"
8,Juarez,"2,329",64,833,17,82,78,"1,692",740,0,12,0,3,2,0,33,7,1,0,18,0,153,"3,479","3,735","10,064",37.11%,"1,692",833,23.00%,MC,PRI,"1,905"
9,Apodaca,150,648,"1,992",120,91,57,676,982,41,9,0,0,3,0,159,23,8,3,0,1,122,"4,980","4,935","9,784",50.44%,"1,992",982,20.47%,PRI,MORENA,"2,517"
10,Juarez,"2,380",65,392,9,49,35,"1,270",608,0,10,0,5,5,0,18,5,0,1,12,2,95,"2,581","2,581","9,365",27.56%,"1,270",608,25.65%,MC,MORENA,"1,316"
11,Juarez,"2,308",52,361,20,76,49,"1,569",831,0,2,0,5,3,0,15,3,0,1,21,2,108,"3,113","3,118","9,294",33.55%,"1,569",831,23.67%,MC,MORENA,"1,590"
12,Santa Catarina,"2,006","1,622",123,16,101,73,"1,669",698,49,0,0,17,0,0,59,21,3,2,0,3,121,"4,577","4,577","9,007",50.82%,"1,669","1,622",1.03%,MC,PAN,"2,334"
13,Juarez,842,80,838,14,81,115,"1,953",658,0,33,0,9,2,0,39,10,0,0,12,1,115,"3,596","3,960","8,258",47.95%,"1,953",838,28.16%,MC,PRI,"2,020"
14,Apodaca,"2,196",228,"1,385",35,59,55,562,959,29,7,0,0,5,0,48,11,0,1,0,1,94,"3,155","3,479","8,156",42.66%,"1,385",959,12.24%,PRI,MORENA,"1,774"
15,Apodaca,141,185,"1,014",28,39,26,336,509,19,19,0,0,5,0,37,6,0,0,0,0,70,"1,944","2,293","8,071",28.41%,"1,014",509,22.02%,PRI,MORENA,"1,169"
16,Juarez,"2,352",83,739,13,54,42,"1,588",516,0,5,0,5,0,0,40,8,1,3,16,0,79,"3,194","3,192","7,886",40.48%,"1,588",739,26.60%,MC,PRI,"1,628"
17,Gral. Escobedo,474,323,158,15,234,137,636,"1,660",70,23,0,9,142,0,11,6,2,1,48,4,127,"3,597","3,606","7,876",45.78%,"1,660",636,28.40%,MORENA,MC,"1,839"
18,Gral. Escobedo,472,306,144,22,268,106,658,"1,525",84,31,0,15,19,0,25,7,1,0,72,0,118,"3,414","3,401","7,790",43.66%,"1,525",658,25.49%,MORENA,MC,"1,735"
19,Apodaca,144,307,"1,227",25,64,48,404,635,38,9,0,0,4,0,73,13,3,4,0,1,81,"2,932","2,936","7,778",37.75%,"1,227",635,20.16%,PRI,MORENA,"1,497"
20,Apodaca,70,593,"1,428",33,62,111,639,629,63,9,0,0,19,0,117,17,1,2,0,1,92,"3,806","3,816","7,725",49.40%,"1,428",639,20.68%,PRI,MC,"1,946"
